scenario,pReact,pReact_comp,pReact_incomp,pHep,pComp_chemo,Sp_cost,LTBIcompl_cost,LTBIincompl_cost,pAccept_chemo,QFT,QFT_pos,Hep,PPV_QFT,NPV_QFT,TB_cost
0,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,0.95,23.68,0.23,732,0.9,0.93,4925.76
1,0.0005,0.0002,0.0004,0.002,0.8,241.23,169.68,84.84,0.95,23.68,0.23,732,0.9,0.93,4925.76
2,0.0034,0.0012,0.0027,0.002,0.8,241.23,169.68,84.84,0.95,23.68,0.23,732,0.9,0.93,4925.76
3,0.0012,0.0004,0.0009,0.001,0.8,241.23,169.68,84.84,0.95,23.68,0.23,732,0.9,0.93,4925.76
4,0.0012,0.0004,0.0009,0.003,0.8,241.23,169.68,84.84,0.95,23.68,0.23,732,0.9,0.93,4925.76
5,0.0012,0.0004,0.0009,0.002,0.5,241.23,169.68,84.84,0.95,23.68,0.23,732,0.9,0.93,4925.76
6,0.0012,0.0004,0.0009,0.002,0.9,241.23,169.68,84.84,0.95,23.68,0.23,732,0.9,0.93,4925.76
7,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,0.95,23.68,0.23,732,0.8,0.93,4925.76
8,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,0.95,23.68,0.23,732,1,0.93,4925.76
9,0.0012,0.0004,0.0009,0.002,0.8,200,169.68,84.84,0.95,23.68,0.23,732,0.9,0.93,4925.76
10,0.0012,0.0004,0.0009,0.002,0.8,300,169.68,84.84,0.95,23.68,0.23,732,0.9,0.93,4925.76
11,0.0012,0.0004,0.0009,0.002,0.8,241.23,100,84.84,0.95,23.68,0.23,732,0.9,0.93,4925.76
12,0.0012,0.0004,0.0009,0.002,0.8,241.23,200,84.84,0.95,23.68,0.23,732,0.9,0.93,4925.76
13,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,50,0.95,23.68,0.23,732,0.9,0.93,4925.76
14,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,150,0.95,23.68,0.23,732,0.9,0.93,4925.76
15,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,0.9,23.68,0.23,732,0.9,0.93,4925.76
16,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,1,23.68,0.23,732,0.9,0.93,4925.76
17,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,0.95,10,0.23,732,0.9,0.93,4925.76
18,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,0.95,100,0.23,732,0.9,0.93,4925.76
19,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,0.95,23.68,0.2,732,0.9,0.93,4925.76
20,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,0.95,23.68,0.26,732,0.9,0.93,4925.76
21,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,0.95,23.68,0.23,366,0.9,0.93,4925.76
22,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,0.95,23.68,0.23,1464,0.9,0.93,4925.76
23,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,0.95,23.68,0.23,732,0.9,0.8,4925.76
24,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,0.95,23.68,0.23,732,0.9,1,4925.76
25,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,0.95,23.68,0.23,732,0.9,0.93,2463
26,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,0.95,23.68,0.23,732,0.9,0.93,9851
