scenario,pReact,pReact_comp,pReact_incomp,pHep,pComp_chemo,Sp_cost,LTBIcompl_cost,LTBIincompl_cost,pAccept_chemo,QFT,TST,QFT_pos,TST_pos,Hep,PPV_QFT,NPV_QFT,PPV_TST,NPV_TST,TB_cost
0,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,0.95,23.68,25,0.23,0.56,732,0.9,0.93,0.55,0.82,4925.76
1,0.0005,0.0002,0.0004,0.002,0.8,241.23,169.68,84.84,0.95,23.68,25,0.23,0.56,732,0.9,0.93,0.55,0.82,4925.76
2,0.0034,0.0012,0.0027,0.002,0.8,241.23,169.68,84.84,0.95,23.68,25,0.23,0.56,732,0.9,0.93,0.55,0.82,4925.76
3,0.0012,0.0004,0.0009,0.001,0.8,241.23,169.68,84.84,0.95,23.68,25,0.23,0.56,732,0.9,0.93,0.55,0.82,4925.76
4,0.0012,0.0004,0.0009,0.003,0.8,241.23,169.68,84.84,0.95,23.68,25,0.23,0.56,732,0.9,0.93,0.55,0.82,4925.76
5,0.0012,0.0004,0.0009,0.002,0.5,241.23,169.68,84.84,0.95,23.68,25,0.23,0.56,732,0.9,0.93,0.55,0.82,4925.76
6,0.0012,0.0004,0.0009,0.002,0.9,241.23,169.68,84.84,0.95,23.68,25,0.23,0.56,732,0.9,0.93,0.55,0.82,4925.76
7,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,0.95,23.68,25,0.23,0.56,732,0.8,0.93,0.55,0.82,4925.76
8,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,0.95,23.68,25,0.23,0.56,732,1,0.93,0.55,0.82,4925.76
9,0.0012,0.0004,0.0009,0.002,0.8,200,169.68,84.84,0.95,23.68,25,0.23,0.56,732,0.9,0.93,0.55,0.82,4925.76
10,0.0012,0.0004,0.0009,0.002,0.8,300,169.68,84.84,0.95,23.68,25,0.23,0.56,732,0.9,0.93,0.55,0.82,4925.76
11,0.0012,0.0004,0.0009,0.002,0.8,241.23,100,84.84,0.95,23.68,25,0.23,0.56,732,0.9,0.93,0.55,0.82,4925.76
12,0.0012,0.0004,0.0009,0.002,0.8,241.23,200,84.84,0.95,23.68,25,0.23,0.56,732,0.9,0.93,0.55,0.82,4925.76
13,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,50,0.95,23.68,25,0.23,0.56,732,0.9,0.93,0.55,0.82,4925.76
14,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,150,0.95,23.68,25,0.23,0.56,732,0.9,0.93,0.55,0.82,4925.76
15,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,0.9,23.68,25,0.23,0.56,732,0.9,0.93,0.55,0.82,4925.76
16,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,1,23.68,25,0.23,0.56,732,0.9,0.93,0.55,0.82,4925.76
17,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,0.95,10,25,0.23,0.56,732,0.9,0.93,0.55,0.82,4925.76
18,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,0.95,100,25,0.23,0.56,732,0.9,0.93,0.55,0.82,4925.76
19,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,0.95,23.68,25,0.22,0.56,732,0.9,0.93,0.55,0.82,4925.76
20,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,0.95,23.68,25,0.24,0.56,732,0.9,0.93,0.55,0.82,4925.76
21,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,0.95,23.68,25,0.23,0.56,366,0.9,0.93,0.55,0.82,4925.76
22,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,0.95,23.68,25,0.23,0.56,1464,0.9,0.93,0.55,0.82,4925.76
23,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,0.95,23.68,25,0.23,0.56,732,0.9,0.8,0.55,0.82,4925.76
24,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,0.95,23.68,25,0.23,0.56,732,0.9,1,0.55,0.82,4925.76
25,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,0.95,23.68,25,0.23,0.56,732,0.9,0.93,0.55,0.82,2463
26,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,0.95,23.68,25,0.23,0.56,732,0.9,0.93,0.55,0.82,9851
27,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,0.95,23.68,12,0.23,0.56,732,0.9,0.93,0.55,0.82,4925.76
28,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,0.95,23.68,50,0.23,0.56,732,0.9,0.93,0.55,0.82,4925.76
29,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,0.95,23.68,25,0.23,0.54,732,0.9,0.93,0.55,0.82,4925.76
30,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,0.95,23.68,25,0.23,0.58,732,0.9,0.93,0.55,0.82,4925.76
31,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,0.95,23.68,25,0.23,0.56,732,0.9,0.93,0.2,0.82,4925.76
32,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,0.95,23.68,25,0.23,0.56,732,0.9,0.93,0.75,0.82,4925.76
33,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,0.95,23.68,25,0.23,0.56,732,0.9,0.93,0.55,0.67,4925.76
34,0.0012,0.0004,0.0009,0.002,0.8,241.23,169.68,84.84,0.95,23.68,25,0.23,0.56,732,0.9,0.93,0.55,0.95,4925.76
